# Kingdom of Loathing items that yield other items when used.
# Derived from {{acquire}} templates in the "When Used" section of every article in
# Category:Usable Items (and subcategories) on wiki.kingdomofloathing.com.
# Generated 2026-09-06 by scripts/fetch-kol-item-yields.mjs from 3402 pages.
#
# itemid: KoL's own item number, from the wiki's Cargo "Items" table. Empty when the
#         article has no Data: subpage to read one from.
# self_transform: all  = every yield is the same item in another state (e.g. a book
#                        becoming "<book> (used)") — no new items come out of it
#                 part = mixed; the self-transforming yields are prefixed with "*"
#                 no   = every yield is a different item, or the item pays only Meat
# meat: Meat the item pays out when used, as the wiki writes it ("400-600", "3,000",
#       "some"); " / " separates alternative outcomes. Empty = pays no Meat. Meat the
#       item COSTS you ({{meat|type=lose|...}}) is not counted here.
# class: what the userscript groups by; first match of multiuse, meat, random, items.
#        multiuse = using N at once decides what you get (from KoLMafia's MUSE recipes)
#        meat     = pays Meat; random = the wiki can only give a range or "some"
#        items    = a fixed set of items
# multiuse: the recipes, "N=what you get", "; "-separated. Empty unless class=multiuse.
# yields: "; "-separated; "xN" suffix is the quantity or range the wiki lists.
item	itemid	class	self_transform	meat	multiuse	yields
31337 scroll	553	random	no			stat script; worthless knick-knack xsome; worthless gewgaw xsome; worthless trinket xsome; ten-leaf clover xsome
64735 scroll	552	meat	no	21337		facsimile dictionary; drywall axe; drywall axe
668 scroll	548	meat	no	some		papaya x10-15; 64735 scroll; 31337 scroll
A Beginner's Guide to Charming Snakes	4408	items	all			*A Beginner's Guide to Charming Snakes (used)
A Crimbo Carol, Ch. 1	4354	items	all			*A Crimbo Carol, Ch. 1 (used)
A Crimbo Carol, Ch. 2	4355	items	all			*A Crimbo Carol, Ch. 2 (used)
A Crimbo Carol, Ch. 3	4356	items	all			*A Crimbo Carol, Ch. 3 (used)
A Crimbo Carol, Ch. 4	4357	items	all			*A Crimbo Carol, Ch. 4 (used)
A Crimbo Carol, Ch. 5	4358	items	all			*A Crimbo Carol, Ch. 5 (used)
A Crimbo Carol, Ch. 6	4359	items	all			*A Crimbo Carol, Ch. 6 (used)
A-Boo glue	9912	items	no			glued A-Boo clue
Abandoned candy	3290	random	no			Mr. Mediocrebar xsome; Yummy Tummy bean xsome; Rock Pops xsome; Daffy Taffy xsome; Spooky Surprise Egg xsome
Alabaster bishop	10632	items	no			Fancy chess set
Alabaster king	10629	items	no			Fancy chess set
Alabaster knight	10633	items	no			Fancy chess set
Alabaster pawn	10634	items	no			Fancy chess set
Alabaster queen	10630	items	no			fancy chess set
Alabaster rook	10631	items	no			Fancy chess set
Alice's Army booster box	5022	items	no			Pack of Alice's Army Cards x30
Alien source code printout	7533	items	all			*alien source code printout (used)
All-purpose flower	1183	random	no			wad of dough x35-45
Allied Radio Backpack Pack	11932	items	no			Allied Radio Backpack
Ammonite candy mold	5492	items	no			gummi ammonite
Ancient calendar fragment	5646	items	no			ancient calendar
Ancient cursed foot locker	3016	random	no			cursed piece of thirteen xsome; cursed black pearl onion xsome; cursed sea biscuit xsome; cursed bottle of rum xsome; cursed bottle of black-label rum xsome; cursed cannonball xsome; cursed voodoo skull xsome; cursed dirty joke scroll xsome
Ancient turtle shell	3988	items	no			ancient turtle shell powder
Ancient vinyl coin purse	2612	meat	no	650-750		
Antique 8-Bit Power magazine	4597	items	no			map to Vanya's Castle
Antique bottle opener	4599	items	no			map to the Kegger in the Woods
Antique painting of a landscape	4449	items	no			map to The Landscaper's Lair
Antique pair of blue jeans	4657	items	no			map to Ellsbury's Claim
Antique record album	4559	items	no			map to Professor Jacking's laboratory
Antique souvenir drawing	4612	items	no			map to the Magic Commune
Arcanoferric housing	10245	items	no			signal receiver
Artisanal homebrew sampler	6756	items	no			bottle of Old Pugilist; bottle of Race Car Red; bottle of Professor Beer; bottle of Greedy Dog; bottle of Rapier Witbier; bottle of Lambada Lambic
Assemble-it-yourself Leprecondo	11860	items	no			Leprecondo
Astral hot dog dinner	5045	items	no			astral hot dog x3
Astral six-pack	5046	items	no			astral pilsner x6
Augmented El Vibrato drone	3167	items	no			El Vibrato Megadrone (hatchling)
BGE merchandise order form	4875	items	no			BGE 'ferocious fruit' shirt‎; BGE 'cuddly critter' shirt; BGE pocket calendar‎; BGE shotglass‎ x6; BGE temporary tattoo; BGE tiny plastic toy
BRICKO brick	4469	multiuse	no		2=BRICKO ooze; 3=BRICKO hat; 5=BRICKO bat; 6=BRICKO sword; 8=BRICKO oyster; 9=BRICKO pants; 11=BRICKO turtle; 23=BRICKO elephant; 37=BRICKO octopus; 69=BRICKO python; 420=BRICKO pyramid; 1100=BRICKO vacuum cleaner; 2300=BRICKO airship; 3700=BRICKO cathedral; 6900=BRICKO gargantuchicken	BRICKO ooze (item); BRICKO hat; BRICKO bat (item); BRICKO sword; BRICKO oyster (item); BRICKO pants; BRICKO turtle (item); BRICKO elephant (item); BRICKO octopus (item); BRICKO python (item); BRICKO pyramid; BRICKO vacuum cleaner (item); BRICKO airship (item); BRICKO cathedral (item); BRICKO gargantuchicken (item)
BRICKO trunk	4488	random	no			BRICKO brick x4-6; BRICKO eye brick x0-1
Bag of Iunion stones	10573	items	no			Iunion Crown
Bag of bones	4756	random	no			bone chips x7-10
Bag of foreign bribes	8691	meat	no	1-500		Beach Buck x6-8; Coinspiracy x4-6; FunFunds™ x1-3; Volcoino; Wal-Mart gift certificate x2-4
Bag of park garbage	8211	meat	no	150-250		
Bag of sausage links	10062	items	no			sausage golem
Bagged Cargo Cultist Shorts	10635	items	no			Cargo Cultist Shorts
Barnacled barrel	8577	items	no			Alewife™ Ale; bazookafish bubble gum; beefy fish meat; eel battery; glistening fish meat; ink bladder; pufferfish spine; shark cartilage; slick fish meat; slug of rum; slug of shochu; slug of vodka; temporary teardrop tattoo; water log
Bash-Ōs boxtop	3473	multiuse	no		20=propeller beanie	propeller beanie
Bastille Battalion control rig crate	9927	items	no			Bastille Battalion control rig
Bat guano	188	items	no			guano coffee cup
Bath ball gift set	4891	random	no			chocolate bath ball xsome; bacon bath ball xsome; myrrh-soaked, chocolate-covered bacon bath ball xsome; incense bath ball xsome
Bazooka cozy	6331	items	no			cozy bazooka
Beach Comb Box	10257	items	no			Beach Comb
Beer cartilage	1631	items	no			ice-cold six-pack
Belemnite candy mold	5493	items	no			gummi belemnite
Better Shrooms and Gardens catalog	10481	items	no			packet of mushroom spores
Big slimy cyst	4094	items	no			crusty hula hoop; red wagon; rickety old unicycle
Big tun	8570	items	no			barrel gun; barrel-aged martini; bottle of Amontillado; gibson; gin and tonic; mimosette; tequila sunset; vodka and tonic; zmobie (drink)
